Unnamed: 0,do,did,is doing,was doing,want to do,wanted to do,can do,could do,It's ok do,It was ok do,please do,I do and...,let's do,shall I do?,order
cut,切る,切った,切っている,切っていた,切りたい,切りたかった,切れる,切れた,切ってもいい,切ってもよかった,切って,切って,切ろう,切ろうか？,切れ
,切らない,切らなかった,切っていない,切っていなかった,切りたくない,切りたくなかった,切れない,切れなかった,切らなくてもいい,切らなくてもよかった,切らないで,切らなくて,,,切るな
,切ります,切りました,切っています,切っていました,切りたいです,切りたかったです,切れます,切れました,切ってもいいです,切ってもよかったです,切ってください,切りまして,切りましょう,切りましょうか？,切りなさい
,切りません,切りませんでした,切っていません,切っていませんでした,切りたくないです,切りたくなかったです,切れません,切れませんでした,切らなくてもいいです,切らなくてもよかったです,切らないでください,切りませんでして,,,切ってはいけません
"wear, put on",着る,着た,着ている,着ていた,着たい,着たかった,着られる,着られた,着てもいい,着てもよかった,着て,着て,着よう,着ようか？,着ろ
,着ない,着なかった,着ていない,着ていなかった,着たくない,着たくなかった,着られない,着られなかった,着なくてもいい,着なくてもよかった,着ないで,着なくて,,,着るな
,着ます,着ました,着ています,着ていました,着たいです,着たかったです,着られます,着られました,着てもいいです,着てもよかったです,着てください,着まして,着ましょう,着ましょうか？,着なさい
,着ません,着ませんでした,着ていません,着ていませんでした,着たくないです,着たくなかったです,着られません,着られませんでした,着なくてもいいです,着なくてもよかったです,着ないでください,着ませんでして,,,着てはいけません
"turn off, switch off",消す,消した,消している,消していた,消したい,消したかった,消せる,消せた,消してもいい,消してもよかった,消して,消して,消そう,消そうか？,消せ
,消さない,消さなかった,消していない,消していなかった,消したくない,消したくなかった,消せない,消せなかった,消さなくてもいい,消さなくてもよかった,消さないで,消さなくて,,,消すな
,消します,消しました,消しています,消していました,消したいです,消したかったです,消せます,消せました,消してもいいです,消してもよかったです,消してください,消しまして,消しましょう,消しましょうか？,消しなさい
,消しません,消しませんでした,消していません,消していませんでした,消したくないです,消したくなかったです,消せません,消せませんでした,消さなくてもいいです,消さなくてもよかったです,消さないでください,消しませんでして,,,消してはいけません
answer,答える,答えた,答えている,答えていた,答えたい,答えたかった,答えられる,答えられた,答えてもいい,答えてもよかった,答えて,答えて,答えよう,答えようか？,答えろ
,答えない,答えなかった,答えていない,答えていなかった,答えたくない,答えたくなかった,答えられない,答えられなかった,答えなくてもいい,答えなくてもよかった,答えないで,答えなくて,,,答えるな
,答えます,答えました,答えています,答えていました,答えたいです,答えたかったです,答えられます,答えられました,答えてもいいです,答えてもよかったです,答えてください,答えまして,答えましょう,答えましょうか？,答えなさい
,答えません,答えませんでした,答えていません,答えていませんでした,答えたくないです,答えたくなかったです,答えられません,答えられませんでした,答えなくてもいいです,答えなくてもよかったです,答えないでください,答えませんでして,,,答えてはいけません
be in trouble,困る,困った,困っている,困っていた,困りたい,困りたかった,困れる,困れた,困ってもいい,困ってもよかった,困って,困って,困ろう,困ろうか？,困れ
,困らない,困らなかった,困っていない,困っていなかった,困りたくない,困りたくなかった,困れない,困れなかった,困らなくてもいい,困らなくてもよかった,困らないで,困らなくて,,,困るな
,困ります,困りました,困っています,困っていました,困りたいです,困りたかったです,困れます,困れました,困ってもいいです,困ってもよかったです,困ってください,困りまして,困りましょう,困りましょうか？,困りなさい
,困りません,困りませんでした,困っていません,困っていませんでした,困りたくないです,困りたくなかったです,困れません,困れませんでした,困らなくてもいいです,困らなくてもよかったです,困らないでください,困りませんでして,,,困ってはいけません
blossom,咲く,咲いた,咲いている,咲いていた,咲きたい,咲きたかった,咲ける,咲けた,咲いてもいい,咲いてもよかった,咲いて,咲いて,咲こう,咲こうか？,咲け
,咲かない,咲かなかった,咲いていない,咲いていなかった,咲きたくない,咲きたくなかった,咲けない,咲けなかった,咲かなくてもいい,咲かなくてもよかった,咲かないで,咲かなくて,,,咲くな
,咲きます,咲きました,咲いています,咲いていました,咲きたいです,咲きたかったです,咲けます,咲けました,咲いてもいいです,咲いてもよかったです,咲いてください,咲きまして,咲きましょう,咲きましょうか？,咲きなさい
,咲きません,咲きませんでした,咲いていません,咲いていませんでした,咲きたくないです,咲きたくなかったです,咲けません,咲けませんでした,咲かなくてもいいです,咲かなくてもよかったです,咲かないでください,咲きませんでして,,,咲いてはいけません
open an umbrella,さす,さした,さしている,さしていた,さしたい,さしたかった,させる,させた,さしてもいい,さしてもよかった,さして,さして,さそう,さそうか？,させ
,ささない,ささなかった,さしていない,さしていなかった,さしたくない,さしたくなかった,させない,させなかった,ささなくてもいい,ささなくてもよかった,ささないで,ささなくて,,,さすな
,さします,さしました,さしています,さしていました,さしたいです,さしたかったです,させます,させました,さしてもいいです,さしてもよかったです,さしてください,さしまして,さしましょう,さしましょうか？,さしなさい
,さしません,さしませんでした,さしていません,さしていませんでした,さしたくないです,さしたくなかったです,させません,させませんでした,ささなくてもいいです,ささなくてもよかったです,ささないでください,さしませんでして,,,さしてはいけません
"die, pass away",死ぬ,死んだ,死んでいる,死んでいた,死にたい,死にたかった,死ねる,死ねた,死んでもいい,死んでもよかった,死んで,死んで,死のう,死のうか？,死ね
,死なない,死ななかった,死んでいない,死んでいなかった,死にたくない,死にたくなかった,死ねない,死ねなかった,死ななくてもいい,死ななくてもよかった,死なないで,死ななくて,,,死ぬな
,死にます,死にました,死んでいます,死んでいました,死にたいです,死にたかったです,死ねます,死ねました,死んでもいいです,死んでもよかったです,死んでください,死にまして,死にましょう,死にましょうか？,死になさい
,死にません,死にませんでした,死んでいません,死んでいませんでした,死にたくないです,死にたくなかったです,死ねません,死ねませんでした,死ななくてもいいです,死ななくてもよかったです,死なないでください,死にませんでして,,,死んではいけません
close (intrans.),閉まる,閉まった,閉まっている,閉まっていた,閉まりたい,閉まりたかった,閉まれる,閉まれた,閉まってもいい,閉まってもよかった,閉まって,閉まって,閉まろう,閉まろうか？,閉まれ
,閉まらない,閉まらなかった,閉まっていない,閉まっていなかった,閉まりたくない,閉まりたくなかった,閉まれない,閉まれなかった,閉まらなくてもいい,閉まらなくてもよかった,閉まらないで,閉まらなくて,,,閉まるな
,閉まります,閉まりました,閉まっています,閉まっていました,閉まりたいです,閉まりたかったです,閉まれます,閉まれました,閉まってもいいです,閉まってもよかったです,閉まってください,閉まりまして,閉まりましょう,閉まりましょうか？,閉まりなさい
,閉まりません,閉まりませんでした,閉まっていません,閉まっていませんでした,閉まりたくないです,閉まりたくなかったです,閉まれません,閉まれませんでした,閉まらなくてもいいです,閉まらなくてもよかったです,閉まらないでください,閉まりませんでして,,,閉まってはいけません
close (trans.),閉める,閉めた,閉めている,閉めていた,閉めたい,閉めたかった,閉められる,閉められた,閉めてもいい,閉めてもよかった,閉めて,閉めて,閉めよう,閉めようか？,閉めろ
,閉めない,閉めなかった,閉めていない,閉めていなかった,閉めたくない,閉めたくなかった,閉められない,閉められなかった,閉めなくてもいい,閉めなくてもよかった,閉めないで,閉めなくて,,,閉めるな
,閉めます,閉めました,閉めています,閉めていました,閉めたいです,閉めたかったです,閉められます,閉められました,閉めてもいいです,閉めてもよかったです,閉めてください,閉めまして,閉めましょう,閉めましょうか？,閉めなさい
,閉めません,閉めませんでした,閉めていません,閉めていませんでした,閉めたくないです,閉めたくなかったです,閉められません,閉められませんでした,閉めなくてもいいです,閉めなくてもよかったです,閉めないでください,閉めませんでして,,,閉めてはいけません
fasten a belt,締める,締めた,締めている,締めていた,締めたい,締めたかった,締められる,締められた,締めてもいい,締めてもよかった,締めて,締めて,締めよう,締めようか？,締めろ
,締めない,締めなかった,締めていない,締めていなかった,締めたくない,締めたくなかった,締められない,締められなかった,締めなくてもいい,締めなくてもよかった,締めないで,締めなくて,,,締めるな
,締めます,締めました,締めています,締めていました,締めたいです,締めたかったです,締められます,締められました,締めてもいいです,締めてもよかったです,締めてください,締めまして,締めましょう,締めましょうか？,締めなさい
,締めません,締めませんでした,締めていません,締めていませんでした,締めたくないです,締めたくなかったです,締められません,締められませんでした,締めなくてもいいです,締めなくてもよかったです,締めないでください,締めませんでして,,,締めてはいけません
know,知る,知った,知っている,知っていた,知りたい,知りたかった,知れる,知れた,知ってもいい,知ってもよかった,知って,知って,知ろう,知ろうか？,知れ
,知らない,知らなかった,知っていない,知っていなかった,知りたくない,知りたくなかった,知れない,知れなかった,知らなくてもいい,知らなくてもよかった,知らないで,知らなくて,,,知るな
,知ります,知りました,知っています,知っていました,知りたいです,知りたかったです,知れます,知れました,知ってもいいです,知ってもよかったです,知ってください,知りまして,知りましょう,知りましょうか？,知りなさい
,知りません,知りませんでした,知っていません,知っていませんでした,知りたくないです,知りたくなかったです,知れません,知れませんでした,知らなくてもいいです,知らなくてもよかったです,知らないでください,知りませんでして,,,知ってはいけません
"breathe, smoke",吸う,吸った,吸っている,吸っていた,吸いたい,吸いたかった,吸える,吸えた,吸ってもいい,吸ってもよかった,吸って,吸って,吸おう,吸おうか？,吸え
,吸わない,吸わなかった,吸っていない,吸っていなかった,吸いたくない,吸いたくなかった,吸えない,吸えなかった,吸わなくてもいい,吸わなくてもよかった,吸わないで,吸わなくて,,,吸うな
,吸います,吸いました,吸っています,吸っていました,吸いたいです,吸いたかったです,吸えます,吸えました,吸ってもいいです,吸ってもよかったです,吸ってください,吸いまして,吸いましょう,吸いましょうか？,吸いなさい
,吸いません,吸いませんでした,吸っていません,吸っていませんでした,吸いたくないです,吸いたくなかったです,吸えません,吸えませんでした,吸わなくてもいいです,吸わなくてもよかったです,吸わないでください,吸いませんでして,,,吸ってはいけません
"live, reside",住む,住んだ,住んでいる,住んでいた,住みたい,住みたかった,住める,住めた,住んでもいい,住んでもよかった,住んで,住んで,住もう,住もうか？,住め
,住まない,住まなかった,住んでいない,住んでいなかった,住みたくない,住みたくなかった,住めない,住めなかった,住まなくてもいい,住まなくてもよかった,住まないで,住まなくて,,,住むな
,住みます,住みました,住んでいます,住んでいました,住みたいです,住みたかったです,住めます,住めました,住んでもいいです,住んでもよかったです,住んでください,住みまして,住みましょう,住みましょうか？,住みなさい
,住みません,住みませんでした,住んでいません,住んでいませんでした,住みたくないです,住みたくなかったです,住めません,住めませんでした,住まなくてもいいです,住まなくてもよかったです,住まないでください,住みませんでして,,,住んではいけません
sit,座る,座った,座っている,座っていた,座りたい,座りたかった,座れる,座れた,座ってもいい,座ってもよかった,座って,座って,座ろう,座ろうか？,座れ
,座らない,座らなかった,座っていない,座っていなかった,座りたくない,座りたくなかった,座れない,座れなかった,座らなくてもいい,座らなくてもよかった,座らないで,座らなくて,,,座るな
,座ります,座りました,座っています,座っていました,座りたいです,座りたかったです,座れます,座れました,座ってもいいです,座ってもよかったです,座ってください,座りまして,座りましょう,座りましょうか？,座りなさい
,座りません,座りませんでした,座っていません,座っていませんでした,座りたくないです,座りたくなかったです,座れません,座れませんでした,座らなくてもいいです,座らなくてもよかったです,座らないでください,座りませんでして,,,座ってはいけません
"take out, hand in",出す,出した,出している,出していた,出したい,出したかった,出せる,出せた,出してもいい,出してもよかった,出して,出して,出そう,出そうか？,出せ
,出さない,出さなかった,出していない,出していなかった,出したくない,出したくなかった,出せない,出せなかった,出さなくてもいい,出さなくてもよかった,出さないで,出さなくて,,,出すな
,出します,出しました,出しています,出していました,出したいです,出したかったです,出せます,出せました,出してもいいです,出してもよかったです,出してください,出しまして,出しましょう,出しましょうか？,出しなさい
,出しません,出しませんでした,出していません,出していませんでした,出したくないです,出したくなかったです,出せません,出せませんでした,出さなくてもいいです,出さなくてもよかったです,出さないでください,出しませんでして,,,出してはいけません
stand,立つ,立った,立っている,立っていた,立ちたい,立ちたかった,立てる,立てた,立ってもいい,立ってもよかった,立って,立って,立とう,立とうか？,立て
,立たない,立たなかった,立っていない,立っていなかった,立ちたくない,立ちたくなかった,立てない,立てなかった,立たなくてもいい,立たなくてもよかった,立たないで,立たなくて,,,立つな
,立ちます,立ちました,立っています,立っていました,立ちたいです,立ちたかったです,立てます,立てました,立ってもいいです,立ってもよかったです,立ってください,立ちまして,立ちましょう,立ちましょうか？,立ちなさい
,立ちません,立ちませんでした,立っていません,立っていませんでした,立ちたくないです,立ちたくなかったです,立てません,立てませんでした,立たなくてもいいです,立たなくてもよかったです,立たないでください,立ちませんでして,,,立ってはいけません
"ask, request",頼む,頼んだ,頼んでいる,頼んでいた,頼みたい,頼みたかった,頼める,頼めた,頼んでもいい,頼んでもよかった,頼んで,頼んで,頼もう,頼もうか？,頼め
,頼まない,頼まなかった,頼んでいない,頼んでいなかった,頼みたくない,頼みたくなかった,頼めない,頼めなかった,頼まなくてもいい,頼まなくてもよかった,頼まないで,頼まなくて,,,頼むな
,頼みます,頼みました,頼んでいます,頼んでいました,頼みたいです,頼みたかったです,頼めます,頼めました,頼んでもいいです,頼んでもよかったです,頼んでください,頼みまして,頼みましょう,頼みましょうか？,頼みなさい
,頼みません,頼みませんでした,頼んでいません,頼んでいませんでした,頼みたくないです,頼みたくなかったです,頼めません,頼めませんでした,頼まなくてもいいです,頼まなくてもよかったです,頼まないでください,頼みませんでして,,,頼んではいけません
be different,違う,違った,違っている,違っていた,違いたい,違いたかった,違える,違えた,違ってもいい,違ってもよかった,違って,違って,違おう,違おうか？,違え
,違わない,違わなかった,違っていない,違っていなかった,違いたくない,違いたくなかった,違えない,違えなかった,違わなくてもいい,違わなくてもよかった,違わないで,違わなくて,,,違うな
,違います,違いました,違っています,違っていました,違いたいです,違いたかったです,違えます,違えました,違ってもいいです,違ってもよかったです,違ってください,違いまして,違いましょう,違いましょうか？,違いなさい
,違いません,違いませんでした,違っていません,違っていませんでした,違いたくないです,違いたくなかったです,違えません,違えませんでした,違わなくてもいいです,違わなくてもよかったです,違わないでください,違いませんでして,,,違ってはいけません
use,使う,使った,使っている,使っていた,使いたい,使いたかった,使える,使えた,使ってもいい,使ってもよかった,使って,使って,使おう,使おうか？,使え
,使わない,使わなかった,使っていない,使っていなかった,使いたくない,使いたくなかった,使えない,使えなかった,使わなくてもいい,使わなくてもよかった,使わないで,使わなくて,,,使うな
,使います,使いました,使っています,使っていました,使いたいです,使いたかったです,使えます,使えました,使ってもいいです,使ってもよかったです,使ってください,使いまして,使いましょう,使いましょうか？,使いなさい
,使いません,使いませんでした,使っていません,使っていませんでした,使いたくないです,使いたくなかったです,使えません,使えませんでした,使わなくてもいいです,使わなくてもよかったです,使わないでください,使いませんでして,,,使ってはいけません
get tired,疲れる,疲れた,疲れている,疲れていた,疲れたい,疲れたかった,疲れられる,疲れられた,疲れてもいい,疲れてもよかった,疲れて,疲れて,疲れよう,疲れようか？,疲れろ
,疲れない,疲れなかった,疲れていない,疲れていなかった,疲れたくない,疲れたくなかった,疲れられない,疲れられなかった,疲れなくてもいい,疲れなくてもよかった,疲れないで,疲れなくて,,,疲れるな
,疲れます,疲れました,疲れています,疲れていました,疲れたいです,疲れたかったです,疲れられます,疲れられました,疲れてもいいです,疲れてもよかったです,疲れてください,疲れまして,疲れましょう,疲れましょうか？,疲れなさい
,疲れません,疲れませんでした,疲れていません,疲れていませんでした,疲れたくないです,疲れたくなかったです,疲れられません,疲れられませんでした,疲れなくてもいいです,疲れなくてもよかったです,疲れないでください,疲れませんでして,,,疲れてはいけません
arrive,着く,着いた,着いている,着いていた,着きたい,着きたかった,着ける,着けた,着いてもいい,着いてもよかった,着いて,着いて,着こう,着こうか？,着け
,着かない,着かなかった,着いていない,着いていなかった,着きたくない,着きたくなかった,着けない,着けなかった,着かなくてもいい,着かなくてもよかった,着かないで,着かなくて,,,着くな
,着きます,着きました,着いています,着いていました,着きたいです,着きたかったです,着けます,着けました,着いてもいいです,着いてもよかったです,着いてください,着きまして,着きましょう,着きましょうか？,着きなさい
,着きません,着きませんでした,着いていません,着いていませんでした,着きたくないです,着きたくなかったです,着けません,着けませんでした,着かなくてもいいです,着かなくてもよかったです,着かないでください,着きませんでして,,,着いてはいけません
"make, produce",作る,作った,作っている,作っていた,作りたい,作りたかった,作れる,作れた,作ってもいい,作ってもよかった,作って,作って,作ろう,作ろうか？,作れ
,作らない,作らなかった,作っていない,作っていなかった,作りたくない,作りたくなかった,作れない,作れなかった,作らなくてもいい,作らなくてもよかった,作らないで,作らなくて,,,作るな
,作ります,作りました,作っています,作っていました,作りたいです,作りたかったです,作れます,作れました,作ってもいいです,作ってもよかったです,作ってください,作りまして,作りましょう,作りましょうか？,作りなさい
,作りません,作りませんでした,作っていません,作っていませんでした,作りたくないです,作りたくなかったです,作れません,作れませんでした,作らなくてもいいです,作らなくてもよかったです,作らないでください,作りませんでして,,,作ってはいけません
turn on,点ける,点けた,点けている,点けていた,点けたい,点けたかった,点けられる,点けられた,点けてもいい,点けてもよかった,点けて,点けて,点けよう,点けようか？,点けろ
,点けない,点けなかった,点けていない,点けていなかった,点けたくない,点けたくなかった,点けられない,点けられなかった,点けなくてもいい,点けなくてもよかった,点けないで,点けなくて,,,点けるな
,点けます,点けました,点けています,点けていました,点けたいです,点けたかったです,点けられます,点けられました,点けてもいいです,点けてもよかったです,点けてください,点けまして,点けましょう,点けましょうか？,点けなさい
,点けません,点けませんでした,点けていません,点けていませんでした,点けたくないです,点けたくなかったです,点けられません,点けられませんでした,点けなくてもいいです,点けなくてもよかったです,点けないでください,点けませんでして,,,点けてはいけません
work for someone,勤める,勤めた,勤めている,勤めていた,勤めたい,勤めたかった,勤められる,勤められた,勤めてもいい,勤めてもよかった,勤めて,勤めて,勤めよう,勤めようか？,勤めろ
,勤めない,勤めなかった,勤めていない,勤めていなかった,勤めたくない,勤めたくなかった,勤められない,勤められなかった,勤めなくてもいい,勤めなくてもよかった,勤めないで,勤めなくて,,,勤めるな
,勤めます,勤めました,勤めています,勤めていました,勤めたいです,勤めたかったです,勤められます,勤められました,勤めてもいいです,勤めてもよかったです,勤めてください,勤めまして,勤めましょう,勤めましょうか？,勤めなさい
,勤めません,勤めませんでした,勤めていません,勤めていませんでした,勤めたくないです,勤めたくなかったです,勤められません,勤められませんでした,勤めなくてもいいです,勤めなくてもよかったです,勤めないでください,勤めませんでして,,,勤めてはいけません
go out,出かける,出かけた,出かけている,出かけていた,出かけたい,出かけたかった,出かけられる,出かけられた,出かけてもいい,出かけてもよかった,出かけて,出かけて,出かけよう,出かけようか？,出かけろ
,出かけない,出かけなかった,出かけていない,出かけていなかった,出かけたくない,出かけたくなかった,出かけられない,出かけられなかった,出かけなくてもいい,出かけなくてもよかった,出かけないで,出かけなくて,,,出かけるな
,出かけます,出かけました,出かけています,出かけていました,出かけたいです,出かけたかったです,出かけられます,出かけられました,出かけてもいいです,出かけてもよかったです,出かけてください,出かけまして,出かけましょう,出かけましょうか？,出かけなさい
,出かけません,出かけませんでした,出かけていません,出かけていませんでした,出かけたくないです,出かけたくなかったです,出かけられません,出かけられませんでした,出かけなくてもいいです,出かけなくてもよかったです,出かけないでください,出かけませんでして,,,出かけてはいけません
can do,出来る,出来た,出来ている,出来ていた,出来たい,出来たかった,出来られる,出来られた,出来てもいい,出来てもよかった,出来て,出来て,出来よう,出来ようか？,出来ろ
,出来ない,出来なかった,出来ていない,出来ていなかった,出来たくない,出来たくなかった,出来られない,出来られなかった,出来なくてもいい,出来なくてもよかった,出来ないで,出来なくて,,,出来るな
,出来ます,出来ました,出来ています,出来ていました,出来たいです,出来たかったです,出来られます,出来られました,出来てもいいです,出来てもよかったです,出来てください,出来まして,出来ましょう,出来ましょうか？,出来なさい
,出来ません,出来ませんでした,出来ていません,出来ていませんでした,出来たくないです,出来たくなかったです,出来られません,出来られませんでした,出来なくてもいいです,出来なくてもよかったです,出来ないでください,出来ませんでして,,,出来てはいけません
leave,出る,出た,出ている,出ていた,出たい,出たかった,出られる,出られた,出てもいい,出てもよかった,出て,出て,出よう,出ようか？,出ろ
,出ない,出なかった,出ていない,出ていなかった,出たくない,出たくなかった,出られない,出られなかった,出なくてもいい,出なくてもよかった,出ないで,出なくて,,,出るな
,出ます,出ました,出ています,出ていました,出たいです,出たかったです,出られます,出られました,出てもいいです,出てもよかったです,出てください,出まして,出ましょう,出ましょうか？,出なさい
,出ません,出ませんでした,出ていません,出ていませんでした,出たくないです,出たくなかったです,出られません,出られませんでした,出なくてもいいです,出なくてもよかったです,出ないでください,出ませんでして,,,出てはいけません
fly,飛ぶ,飛んだ,飛んでいる,飛んでいた,飛びたい,飛びたかった,飛べる,飛べた,飛んでもいい,飛んでもよかった,飛んで,飛んで,飛ぼう,飛ぼうか？,飛べ
,飛ばない,飛ばなかった,飛んでいない,飛んでいなかった,飛びたくない,飛びたくなかった,飛べない,飛べなかった,飛ばなくてもいい,飛ばなくてもよかった,飛ばないで,飛ばなくて,,,飛ぶな
,飛びます,飛びました,飛んでいます,飛んでいました,飛びたいです,飛びたかったです,飛べます,飛べました,飛んでもいいです,飛んでもよかったです,飛んでください,飛びまして,飛びましょう,飛びましょうか？,飛びなさい
,飛びません,飛びませんでした,飛んでいません,飛んでいませんでした,飛びたくないです,飛びたくなかったです,飛べません,飛べませんでした,飛ばなくてもいいです,飛ばなくてもよかったです,飛ばないでください,飛びませんでして,,,飛んではいけません
stop,止まる,止まった,止まっている,止まっていた,止まりたい,止まりたかった,止まれる,止まれた,止まってもいい,止まってもよかった,止まって,止まって,止まろう,止まろうか？,止まれ
,止まらない,止まらなかった,止まっていない,止まっていなかった,止まりたくない,止まりたくなかった,止まれない,止まれなかった,止まらなくてもいい,止まらなくてもよかった,止まらないで,止まらなくて,,,止まるな
,止まります,止まりました,止まっています,止まっていました,止まりたいです,止まりたかったです,止まれます,止まれました,止まってもいいです,止まってもよかったです,止まってください,止まりまして,止まりましょう,止まりましょうか？,止まりなさい
,止まりません,止まりませんでした,止まっていません,止まっていませんでした,止まりたくないです,止まりたくなかったです,止まれません,止まれませんでした,止まらなくてもいいです,止まらなくてもよかったです,止まらないでください,止まりませんでして,,,止まってはいけません
take,取る,取った,取っている,取っていた,取りたい,取りたかった,取れる,取れた,取ってもいい,取ってもよかった,取って,取って,取ろう,取ろうか？,取れ
,取らない,取らなかった,取っていない,取っていなかった,取りたくない,取りたくなかった,取れない,取れなかった,取らなくてもいい,取らなくてもよかった,取らないで,取らなくて,,,取るな
,取ります,取りました,取っています,取っていました,取りたいです,取りたかったです,取れます,取れました,取ってもいいです,取ってもよかったです,取ってください,取りまして,取りましょう,取りましょうか？,取りなさい
,取りません,取りませんでした,取っていません,取っていませんでした,取りたくないです,取りたくなかったです,取れません,取れませんでした,取らなくてもいいです,取らなくてもよかったです,取らないでください,取りませんでして,,,取ってはいけません
take a photo,撮る,撮った,撮っている,撮っていた,撮りたい,撮りたかった,撮れる,撮れた,撮ってもいい,撮ってもよかった,撮って,撮って,撮ろう,撮ろうか？,撮れ
,撮らない,撮らなかった,撮っていない,撮っていなかった,撮りたくない,撮りたくなかった,撮れない,撮れなかった,撮らなくてもいい,撮らなくてもよかった,撮らないで,撮らなくて,,,撮るな
,撮ります,撮りました,撮っています,撮っていました,撮りたいです,撮りたかったです,撮れます,撮れました,撮ってもいいです,撮ってもよかったです,撮ってください,撮りまして,撮りましょう,撮りましょうか？,撮りなさい
,撮りません,撮りませんでした,撮っていません,撮っていませんでした,撮りたくないです,撮りたくなかったです,撮れません,撮れませんでした,撮らなくてもいいです,撮らなくてもよかったです,撮らないでください,撮りませんでして,,,撮ってはいけません
"sing, mew, moo",鳴く,鳴いた,鳴いている,鳴いていた,鳴きたい,鳴きたかった,鳴ける,鳴けた,鳴いてもいい,鳴いてもよかった,鳴いて,鳴いて,鳴こう,鳴こうか？,鳴け
,鳴かない,鳴かなかった,鳴いていない,鳴いていなかった,鳴きたくない,鳴きたくなかった,鳴けない,鳴けなかった,鳴かなくてもいい,鳴かなくてもよかった,鳴かないで,鳴かなくて,,,鳴くな
,鳴きます,鳴きました,鳴いています,鳴いていました,鳴きたいです,鳴きたかったです,鳴けます,鳴けました,鳴いてもいいです,鳴いてもよかったです,鳴いてください,鳴きまして,鳴きましょう,鳴きましょうか？,鳴きなさい
,鳴きません,鳴きませんでした,鳴いていません,鳴いていませんでした,鳴きたくないです,鳴きたくなかったです,鳴けません,鳴けませんでした,鳴かなくてもいいです,鳴かなくてもよかったです,鳴かないでください,鳴きませんでして,,,鳴いてはいけません
form a line,並ぶ,並んだ,並んでいる,並んでいた,並びたい,並びたかった,並べる,並べた,並んでもいい,並んでもよかった,並んで,並んで,並ぼう,並ぼうか？,並べ
,並ばない,並ばなかった,並んでいない,並んでいなかった,並びたくない,並びたくなかった,並べない,並べなかった,並ばなくてもいい,並ばなくてもよかった,並ばないで,並ばなくて,,,並ぶな
,並びます,並びました,並んでいます,並んでいました,並びたいです,並びたかったです,並べます,並べました,並んでもいいです,並んでもよかったです,並んでください,並びまして,並びましょう,並びましょうか？,並びなさい
,並びません,並びませんでした,並んでいません,並んでいませんでした,並びたくないです,並びたくなかったです,並べません,並べませんでした,並ばなくてもいいです,並ばなくてもよかったです,並ばないでください,並びませんでして,,,並んではいけません
line up,並べる,並べた,並べている,並べていた,並べたい,並べたかった,並べられる,並べられた,並べてもいい,並べてもよかった,並べて,並べて,並べよう,並べようか？,並べろ
,並べない,並べなかった,並べていない,並べていなかった,並べたくない,並べたくなかった,並べられない,並べられなかった,並べなくてもいい,並べなくてもよかった,並べないで,並べなくて,,,並べるな
,並べます,並べました,並べています,並べていました,並べたいです,並べたかったです,並べられます,並べられました,並べてもいいです,並べてもよかったです,並べてください,並べまして,並べましょう,並べましょうか？,並べなさい
,並べません,並べませんでした,並べていません,並べていませんでした,並べたくないです,並べたくなかったです,並べられません,並べられませんでした,並べなくてもいいです,並べなくてもよかったです,並べないでください,並べませんでして,,,並べてはいけません
become,なる,なった,なっている,なっていた,なりたい,なりたかった,なれる,なれた,なってもいい,なってもよかった,なって,なって,なろう,なろうか？,なれ
,ならない,ならなかった,なっていない,なっていなかった,なりたくない,なりたくなかった,なれない,なれなかった,ならなくてもいい,ならなくてもよかった,ならないで,ならなくて,,,なるな
,なります,なりました,なっています,なっていました,なりたいです,なりたかったです,なれます,なれました,なってもいいです,なってもよかったです,なってください,なりまして,なりましょう,なりましょうか？,なりなさい
,なりません,なりませんでした,なっていません,なっていませんでした,なりたくないです,なりたくなかったです,なれません,なれませんでした,ならなくてもいいです,ならなくてもよかったです,ならないでください,なりませんでして,,,なってはいけません
take off clothes,脱ぐ,脱いだ,脱いでいる,脱いでいた,脱ぎたい,脱ぎたかった,脱げる,脱げた,脱いでもいい,脱いでもよかった,脱いで,脱いで,脱ごう,脱ごうか？,脱げ
,脱がない,脱がなかった,脱いでいない,脱いでいなかった,脱ぎたくない,脱ぎたくなかった,脱げない,脱げなかった,脱がなくてもいい,脱がなくてもよかった,脱がないで,脱がなくて,,,脱ぐな
,脱ぎます,脱ぎました,脱いでいます,脱いでいました,脱ぎたいです,脱ぎたかったです,脱げます,脱げました,脱いでもいいです,脱いでもよかったです,脱いでください,脱ぎまして,脱ぎましょう,脱ぎましょうか？,脱ぎなさい
,脱ぎません,脱ぎませんでした,脱いでいません,脱いでいませんでした,脱ぎたくないです,脱ぎたくなかったです,脱げません,脱げませんでした,脱がなくてもいいです,脱がなくてもよかったです,脱がないでください,脱ぎませんでして,,,脱いではいけません
sleep,寝る,寝た,寝ている,寝ていた,寝たい,寝たかった,寝られる,寝られた,寝てもいい,寝てもよかった,寝て,寝て,寝よう,寝ようか？,寝ろ
,寝ない,寝なかった,寝ていない,寝ていなかった,寝たくない,寝たくなかった,寝られない,寝られなかった,寝なくてもいい,寝なくてもよかった,寝ないで,寝なくて,,,寝るな
,寝ます,寝ました,寝ています,寝ていました,寝たいです,寝たかったです,寝られます,寝られました,寝てもいいです,寝てもよかったです,寝てください,寝まして,寝ましょう,寝ましょうか？,寝なさい
